video_block,time,salient_variable,video_path,start_time_s,end_time_s
Sesame India 1,0:28,"faces, hands, ball",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,28.0,33.0
Sesame India 1,0:33,"faces, hands, chalk",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,33.0,34.0
Sesame India 1,0:34,"hands, eraser, board",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,34.0,36.0
Sesame India 1,0:36,"hands, chalk, board",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,36.0,38.0
Sesame India 1,0:38,"faces (children), face (muppet), hands",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,38.0,40.0
Sesame India 1,0:40,"hands, chalk, board",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,40.0,42.0
Sesame India 1,0:42,"faces (children), face (muppet), hands",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,42.0,44.0
Sesame India 1,0:44,"hands, chalk, board",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,44.0,46.0
Sesame India 1,0:46,"faces (children), face (muppet), hands",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,46.0,49.0
Sesame India 1,0:49,faces (children),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,49.0,51.0
Sesame India 1,0:51,face (child),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,51.0,52.0
Sesame India 1,0:52,"faces (children), feet, hands",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,52.0,56.0
Sesame India 1,0:56,"face (child), face (muppet)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_1_stripped.mp4,56.0,60.0
Sesame India 2,0:00,Face (muppet),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameindia_2_stripped.mp4,0.0,12.0
