participant_id,trial_index,trial_name,block_id,block_index,n_samples,trial_duration_sec,valid_duration_sec,left_n_valid,left_percent_valid,right_n_valid,right_percent_valid,mean_percent_valid,val_left_deg,val_right_deg,val_mean_deg,val_left_px,val_right_px,val_mean_px
MWK012,2,sesameindia_1,sesame,0,14917,59.66,57.88,14477,97.05,14464,96.96,97.01,0.8263,0.9465,0.8864,2.4936,2.8561,2.6749
MWK012,3,sesameus_2,sesame,0,14921,59.67,59.14,14788,99.11,14783,99.08,99.09,0.8263,0.9465,0.8864,2.4936,2.8561,2.6749
MWK012,4,slow_hands,slow,1,14921,59.67,58.7,14663,98.27,14685,98.42,98.34,0.9955,0.9533,0.9744,3.004,2.8769,2.9405
MWK012,5,slow_animals,slow,1,14924,59.68,58.35,14545,97.46,14628,98.02,97.74,0.9955,0.9533,0.9744,3.004,2.8769,2.9405
MWK012,6,slow_inanimate,slow,1,14918,59.66,59.31,14817,99.32,14836,99.45,99.39,0.9955,0.9533,0.9744,3.004,2.8769,2.9405
MWK012,7,slow_people,slow,1,14923,59.68,59.06,14751,98.85,14778,99.03,98.94,0.9955,0.9533,0.9744,3.004,2.8769,2.9405
MWK012,8,frank_complex,frank,2,14916,59.65,57.1,14222,95.35,14327,96.05,95.7,1.0436,1.8882,1.4659,3.1494,5.6981,4.4238
MWK012,9,frank_objects,frank,2,14922,59.67,59.46,14862,99.6,14870,99.65,99.62,1.0436,1.8882,1.4659,3.1494,5.6981,4.4238
MWK012,10,frank_play,frank,2,14921,59.67,58.75,14686,98.43,14689,98.45,98.44,1.0436,1.8882,1.4659,3.1494,5.6981,4.4238
MWK012,11,pixar_birds,pixar,3,37418,149.66,148.16,36872,98.54,37206,99.43,98.99,0.8317,1.9447,1.3882,2.5099,5.8684,4.1891
MWK013,0,frank_play,frank,0,14922,59.67,57.71,14365,96.27,14491,97.11,96.69,0.6882,0.8406,0.7644,2.0768,2.5367,2.3068
MWK013,1,frank_complex,frank,0,14922,59.68,56.85,14202,95.17,14224,95.32,95.25,0.6882,0.8406,0.7644,2.0768,2.5367,2.3068
MWK013,2,frank_objects,frank,0,14917,59.66,57.71,14419,96.66,14434,96.76,96.71,0.6882,0.8406,0.7644,2.0768,2.5367,2.3068
MWK013,3,slow_people,slow,1,14922,59.67,54.73,13590,91.07,13775,92.31,91.69,0.5504,0.8193,0.6848,1.661,2.4724,2.0667
MWK013,4,slow_hands,slow,1,14919,59.67,56.05,13968,93.63,14056,94.22,93.92,0.5504,0.8193,0.6848,1.661,2.4724,2.0667
MWK013,5,slow_animals,slow,1,14919,59.67,52.13,13018,87.26,13046,87.45,87.35,0.5504,0.8193,0.6848,1.661,2.4724,2.0667
MWK013,6,slow_inanimate,slow,1,14918,59.66,51.13,12652,84.81,12913,86.56,85.69,0.5504,0.8193,0.6848,1.661,2.4724,2.0667
MWK013,7,sesameus_1,sesame,2,14921,59.67,51.06,12472,83.59,13058,87.51,85.55,0.6039,0.8236,0.7137,1.8223,2.4853,2.1538
MWK013,8,sesameus_2,sesame,2,14916,59.65,47.27,11372,76.24,12262,82.21,79.22,0.6039,0.8236,0.7137,1.8223,2.4853,2.1538
MWK013,9,sesameindia_1,sesame,2,14920,59.67,56.9,14176,95.01,14273,95.66,95.34,0.6039,0.8236,0.7137,1.8223,2.4853,2.1538
MWK013,10,sesameindia_2,sesame,2,14920,59.66,55.77,13829,92.69,14056,94.21,93.45,0.6039,0.8236,0.7137,1.8223,2.4853,2.1538
MWK013,11,pixar_birds,pixar,3,37424,149.68,137.27,33174,88.64,35460,94.75,91.7,5.636,5.6084,5.6222,17.0078,16.9244,16.9661
MWK014,0,sesameindia_1,sesame,0,14922,59.68,55.36,13860,92.88,13819,92.61,92.75,3.7008,3.2692,3.485,11.1679,9.8655,10.5167
